labID,experiment_number,q1est1,q1conf1,q1est2,q1conf2,q2est1,q2conf1,q2est2,q2conf2,q3est1,q3conf1,q3est2,q3conf2,q4est1,q4conf1,q4est2,q4conf2,q5est1,q5conf1,q5est2,q5conf2,q6est1,q6conf1,q6est2,q6conf2,q7est1,q7conf1,q7est2,q7conf2,q8est1,q8conf1,q8est2,q8conf2,q9est1,q9conf1,q9est2,q9conf2,q10est1,q10conf1,q10est2,q10conf2,q11est1,q11conf1,q11est2,q11conf2,q12est1,q12conf1,q12est2,q12conf2,q13est1,q13conf1,q13est2,q13conf2,q14est1,q14conf1,q14est2,q14conf2,q15est1,q15conf1,q15est2,q15conf2,q16est1,q16conf1,q16est2,q16conf2
30257,4,5000,4,30000,4,360,5,90,6,2400,5,2400,7,10000000,5,15000000,6,100000,2,3600000,3,20000,6,20000,9,40,5,36,8,200,5,220,6,18,7,18,7,15,6,15,8,5,2,6,2,16,6,20,5,60,7,40,7,12,6,15,6,45,7,45,7,55,5,50,6
34746,4,500000,3,45000,3,18,4,65,4,3050,5,2200,5,300000,5,10000000000,4,80000,2,500000,5,65000,2,32000,3,48,2,65,2,350,3,225,3,30,5,20,3,6,3,8,4,14,4,5,5,20,4,33,1,15,3,40,3,6,3,15,5,40,4,45,2,42,5,50,5
34718,5,12000,5,9000000,6,9,4,40,0,24000,5,28000,7,15000000,5,3000000,4,20000,6,22000,5,0.9,7,35000,4,30,7,50,5,300,6,300,3,15,6,15,1,4,5,7,4,4,4,2.5,0,10,6,15,3,35,3,32,1,60,4,25,1,30,7,30,5,25,5,30,4
31382,5,800000,1,900000,1,8,5,40,3,4000,3,2100,2,9000000,2,3000000,3,100000,2,25000,1,40000,3,30000,2,72,9,48,5,200,1,350,2,15,5,15,0,5,3,7,2,2,2,2.5,1,12,2,15,3,15,3,32,1,25,2,25,3,40,5,33,4,40,6,40,7
33780,5,3000,5,400000,4,40,7,40,4,60,3,750,5,5000000,6,3000000,3,6000000,5,500000,4,20000,4,40000,6,43,4,47,6,130,5,200,6,20,4,15,0,20,6,7,4,20,7,2.5,0,10,6,15,4,30,6,32,1,30,4,22,3,43,5,50,7,33,4,20,6
29727,5,500000000,6,500000,3,37,4,40,2,4000,4,750,2,3000000,3,3000000,2,3500,2,120000,4,43000,2,45000,8,35,2,48,3,225,4,400,4,35,4,25,4,5,3,7,2,2.1,3,2.5,2,5,3,15,3,30,4,32,1,23,4,25,0,50,8,50,5,67,5,35,3
34015,5,200000,1,700000,6,26,3,40,2,25000,3,750,4,6000000,4,4000000,6,3000000,2,15000,4,68000,4,30000,4,53,3,52,5,140,6,350,5,40,3,15,0,7,3,7,5,12,3,2.5,1,23,3,15,4,15000,4,32,2,35,5,25,4,25,3,35,4,65,3,30,5
34499,5,1000000,3,900000,2,13.1,6,25,4,100,1,1000,1,300000,2,3000000,2,1000000,2,25000,2,50000,2,35000,2,48,2,48,2,300,1,325,2,15,2,15,2,8,2,7,2,14.2,2,2.5,1,15,2,15,4,8,2,25,4,33,2,22,1,50,2,45,2,50,1,30,2
31365,5,50000,5,5000000,5,100,5,45,4,750,5,750,5,10000000,5,3000000,5,5E+15,0,25000,5,15000,5,25000,5,1000,5,750,5,500,5,500,5,15,5,15,5,15,5,10,5,3.5,5,2.5,5,20,5,18,5,5,5,5,9,40,5,25,5,25,5,33,5,5,5,25,5
34566,5,1000,1,500000,4,30,5,40,5,3280,1,1500,5,5000000,1,3000000,4,40000,2,120000,4,20000,2,30000,3,48,3,48,3,40,2,300,5,20,1,15,1,5,2,6,5,0,0,2.5,2,5,1,12,3,30,4,30,2,20,1,20,5,30,2,33,4,60,2,45,3
33922,5,300000,2,300000,4,12,4,22,5,700,4,21000,4,10000000,2,4000000,3,3500000,3,25000,2,30000,4,30000,4,110,2,55,4,200,4,300,4,20,2,15,2,15,4,8,4,4,5,2.5,3,20,4,14,4,15,4,32,3,15,3,23,5,20,4,36,5,40,4,35,4
34704,5,20000,4,500000,4,45,2,40,0,500,4,750,3,2000000,3,3000000,0,3000000,4,1000000,4,40000,3,30000,0,60,3,45,4,600,4,350,4,15,3,15,0,10,4,7,2,25,5,2.5,0,20,4,15,0,0.35,6,32,1,15,3,25,2,40,4,33,2,45,3,40,3
31569,13,10000000,5,7000000,3,25,4,25,4,2200,3,2000,5,5000000,6,5000000,6,24000,6,24000,5,47000,5,47000,8,50,4,55,5,400,4,325,5,13,7,13,4,10,6,7,4,3,5,3,5,15,5,15,3,60,5,60,4,24,6,24,5,30,5,40,6,30,4,40,6
29099,13,9000000,1,4500000,2,12,2,14,3,12000,0,2000,3,1700000,2,6000000,2,18000,4,15000,1,27000,1,45000,1,40,2,60,2,140,0,250,3,30,2,13,0,15,0,9,0,1.3,0,3,4,5,1,15,1,5,2,40,4,30,3,24,3,50,2,50,2,40,3,55,2
27471,13,100000,0,4500000,4,14,0,16,5,2650,4,2000,3,15000000,5,7000000,7,24000000,7,24000,4,30000,5,40000,4,80,5,61,7,240,7,250,6,24,5,14.8,6,8.5,4,9,4,7,1,3,5,20,0,15,4,28,5,38.9,5,24,4,24.5,6,50,5,50.5,6,62.43253837,4,52.2,4
32676,13,2000,4,4500000,2,12,3,18,3,500,3,2000,2,2000000,1,6200000,3,200000,3,24000,4,25000,4,44000,2,36,3,55,4,150,3,245,3,20,3,13.5,3,30,3,8.5,3,4,4,3,3,5,4,15,2,80,4,40,3,40,3,25,3,51,4,50.5,2,50,3,55,3
34111,13,400,5,4500000,0,10,5,25,5,1000,4,2000,0,300000,5,6000000,4,1000,2,10000,4,30000,3,30000,1,120,3,72,4,300,6,250,5,25,3,14,4,10,7,9,0,3,1,3,3,15,5,15,0,12,3,40,4,35,5,24,5,33,4,55,5,35,4,55,3
32996,13,500000,3,4500000,3,15,3,14,2,1200,3,2000,0,6000000,5,6000000,1,10000,0,24000,5,30000,5,30000,5,48,4,60,3,400,2,250,0,20,4,13,4,10,5,8,3,2,1,3,0,20,5,15,5,20,3,40,3,15,4,24,0,50,5,50,3,30,6,55,2
34805,13,5000000000,2,450000,1,45,2,20,1,500,1,2000,1,4000000,1,6000000,2,10,1,200000,2,3,3,35000,1,60,1,60,1,160,2,250,2,50,3,45,1,3,1,8,1,7,3,3,2,20,1,15,1,25,2,30,3,15,1,24,1,50,3,50,1,65,3,55,1
34660,13,1500,3,2000,6,600,5,30,4,10010,6,2000,1,10000000,3,6000000,3,6000,5,7000,6,30000,5,35000,3,48,4,48,5,150,3,180,5,40,3,15,3,15,4,8,3,3.5,4,3.5,4,15,5,15,3,70,4,65,4,25,3,24,3,75,3,73,3,33.3333333,4,35,4
33180,13,9000000,5,4500000,0,12,4,14,1,2000,3,2000,0,6000000,3,6,0,40000,2,24000,4,40000,5,42000,5,60,3,60,2,200,3,250,3,6,4,13,3,5,4,9,2,6,4,3,0,8,4,15,0,9,2,40,1,30,4,24,1,48,4,50,2,30,3,30,2
30828,14,9000000,7,5000000,7,120,4,120,4,2500,3,4800,5,4000000,4,6000000,6,7200,6,13400,4,30000,4,35000,6,50,4,60,5,200,4,250,7,,,30,4,5,4,7,4,5,3,3,4,10,4,10,6,10,4,25,5,30,4,16,4,50,4,50,5,30,5,35,7
28908,14,50000,5,50000,5,30,5,25,5,2000,5,2000,6,3000000,4,,,5000,4,5000,4,50000,6,40000,6,60,5,50,5,0.4,7,250,7,,,40,4,20,4,20,4,9,4,9,4,20,5,20,5,40,4,50,4,40,4,40,4,50,2,50,2,60,4,60,4
25599,14,300000000,2,4500000,6,180,2,60,2,2400,3,2700,5,5000000,5,7000000,4,13500,8,13400,2,35000,5,42000,6,60,6,60,5,350,6,300,6,,,13,8,7,4,7,6,1.2,4,1.2,8,13,5,15,8,30,4,30,5,20,4,15,5,50,5,50,3,50,4,37,3
34491,14,70000,3,9000000,5,70,3,60,4,4000,3,3000,5,2000000,5,7000000,2,20000,2,13400,8,22000,5,40000,7,100,4,52,5,100,3,300,3,,,30,4,15,3,9,6,20,3,2,5,10,4,15,7,75,6,38,5,15,4,18,7,50,6,45,8,30,6,40,7
34645,14,1000000,4,3000000,4,18,4,60,4,2000,4,4000,4,80000000,4,7000000,4,5000,4,13400,4,50000,4,38000,4,60,4,60,4,200,4,300,4,,,30,4,10,4,8,3,15,4,2,4,10,4,15,4,15,4,30,4,40,4,20,4,30,4,50,4,60,4,37,5
29068,14,202000,7,9000000,9,36,3,65,1,22000,7,5850,4,40000000,5,7700000,6,26000,9,14000,6,52000,4,30000,5,48,5,52,6,180,4,270,7,,,30,3,14,5,12,6,8,6,4,9,50,5,40,5,19,7,24,6,12,7,14,5,40,7,39,7,20,4,37,5
31526,14,1500,3,4000,5,300,3,60,3,4885,4,4885,5,3000000,4,7000000,2,50000,3,13400,2,50000,4,50000,4,72,3,70,5,200,4,200,5,,,10,5,5,3,7,3,15,2,2,3,12,3,13,3,15,3,20,4,20,4,13,4,50,1,50,1,30,3,37,0
34582,14,6500,5,5000000,2,10,4,15,4,3000,4,3000,4,6000000,4,9000000,3,10000,3,13400,2,40000,4,40000,4,48,3,48,2,200,5,200,5,,,30,4,10,4,9,3,20,3,2,3,40,6,30,6,30,4,25,4,20,7,18,7,50,4,50,2,60,4,40,7
32810,17,6000,5,7000000,6,20,5,35,4,400,1,5000,3,8000000,3,4000000,0,12000,5,24000,3,15000,3,20000,5,70,4,65,2,200,4,200,4,30,4,30,3,20,3,10,5,8,4,5,0,30,6,13,4,27,5,25,6,35,5,35,6,50,4,50,3,60,5,55,4
29908,17,12345,0,250000000,2,6,3,8,5,348,1,3580,1,200000,0,3000000,3,50000,1,23000,5,13,0,39,3,40,3,60,6,180,3,184,5,35,3,33,4,0.16,5,9,7,2,0,6,5,8,2,14,5,30,3,40,3,20,4,30,5,0.5,9,50,5,40,5,25,9
27116,17,250000000,8,3000000,3,30,8,30,4,3580,8,3500,8,300000,9,3000000,6,24000,8,24000,6,40000,8,30000,6,1000,6,60,7,400,6,200,5,20,5,30,9,10,6,8,6,0.4,9,0.3,7,15,7,12,4,40,6,40,6,40,4,30,5,50,6,50,8,40,4,40,6
27181,17,20000,2,25000000,2,8,2,25,3,660,2,5400,5,6000000,3,5000000,6,23800,7,14000,6,20000,2,20000,4,36,1,60,7,200,4,180,6,30,0,31,3,12,5,10,6,55,3,3,5,20,3,17,4,50,4,40,4,60,4,35,2,45,7,44,6,25,5,25,7
33503,17,9000000,0,3000000,5,20,9,30,5,3000,3,5280,2,20000000,8,3000000,8,1E+25,0,24000,5,45000,5,40000,9,60,7,60,0,175,7,180,0,25,2,30,0,5,3,10,3,4,0,0.4,9,12,4,15,0,4,5,40,0,30,8,35,0,50,9,50,9,25,9,30,8
34654,17,70000,7,6500000,5,25,4,55,6,5200,4,4800,8,2000000,4,3500000,6,3300,6,33000,7,40000,4,28000,7,50,4,60,2,160,4,190,6,18,4,23,6,8,5,8,6,0.3,0,4,3,2,2,15,5,2100000,5,47,4,30,3,36,4,50,5,50,5,65,6,60,5
31917,17,2500000,6,1800000,4,15,2,38,3,1500,4,3000,5,3000000,7,3500000,7,48000,2,24000,4,45000,3,38000,6,60,7,60,7,200,4,190,4,30,4,22,4,8,4,8,6,7,3,0.4,3,30,2,15,4,45,5,40,5,25,6,30,7,60,8,40,6,60,6,40,5
34666,17,1,0,3000000,3,60,3,60,2,10560,2,5280,5,7000000,3,4000000,2,9001,0,14880,6,9001,0,40000,3,40,3,60,3,1337,0,200,3,0,0,30,2,15,2,13,3,5,0,6,0,20,2,15,2,20,4,30,3,40,3,35,3,50,5,53,3,55,3,55,4
31116,17,200,0,6000000,2,55,4,65,5,500,0,4000,2,10000,0,3500000,6,3000,0,24000,5,60000,3,35000,4,50,2,60,5,150,1,185,5,65,3,30,4,6,4,9,6,10,2,3,4,20,4,13,4,30,3,40,5,35,4,35,3,55,5,55,7,80,6,65,7
34800,17,70000,0,70000,0,11,0,35,0,100000,1,3000,0,5000000,0,35000000,0,23000,0,24000,0,30000,0,30000,0,12,0,60,0,50,0,190,0,65,0,35,0,0.7,0,6,0,9,2,6,0,40,0,20,0,85,5,80,5,45,5,35,5,50,1,52,0,75,2,65,0
30521,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3,,,,,,,,,,,,,,,,,,,,,20,1,,
711121,18,24000,2,13000000,4,3600,5,70,4,2176,9,2180,8,5000000,4,10000000,3,40000,5,25000,7,45000,6,36000,5,48,4,66,6,373,8,320,7,10,7,9,6,12,3,11,5,1.8,7,1.9,6,45,4,33,3,30,4,30,2,23,3,10,3,50,8,50,1,60,1,35,4
34773,18,100000000,0,7000000,0,10,3,60,1,200,0,2200,0,3000000,0,12,0,50000000,0,15000,0,36000,0,36000,3,65,0,65,5,100,0,300,0,20,2,9,0,15,0,16,5,9,0,0.02,0,30,4,30,4,75,3,33,4,7,0,8,0,30,3,50,9,25,0,33,3
30270,18,45000,3,10000000,5,25,4,45,5,10000,3,2200,2,5000000,4,12,3,1,0,18000,4,50000,4,35000,3,72,4,66,3,200,4,300,3,50,4,9,2,5,3,16,4,0.01,6,2,8,30,3,33,3,10,4,30,2,20,3,10,4,50,6,50,0,40,3,33,3
34362,18,8000,4,10000000,5,37,8,37,8,3000,4,2400,6,6000000,5,8000000,9,130000000,8,18000,5,43000,7,42000,8,44,7,43,9,225,6,260,8,22,4,11,6,10,5,13,4,4,1,2,5,24,6,30,8,28,8,30,5,14,3,12,5,50,7,50,4,45,4,33,5
29717,18,200000,6,4700000,3,8,4,60,0,8.4,5,2200,0,2500000,4,1200000,0,1000000,3,18000,2,20000,4,35000,2,72,7,66,3,200,4,300,0,30,7,10,0,15,3,16,2,4,5,2,0,10,5,25,2,10,4,30,0,6,5,10,2,50,5,50,0,20,5,35,0
34633,18,10000000,5,14400000,8,35,5,54,5,1100,5,2,0,14000000,5,10000000,6,50000,5,18000,2,45000,5,35000,5,55,6,66,4,350,2,350,3,18,2,9,3,5,5,9,6,2.4,5,1.9,3,20,6,20,8,30,4,30,1,25,6,12.5,3,50,2,50,0,30,3,33,2
29189,18,2000000,1,4700000,2,14,2,60,2,4000,2,2300,2,9000000,3,12,2,72000,1,18000,2,350,2,35000,2,42,2,66,2,120,2,300,2,30,3,11,2,6,3,15,3,4,3,2,2,25,4,33,2,40,3,35,3,30,2,13,3,55,3,51,3,35,3,35,4
711122,18,13500000,8,10000000,4,60,0,50,4,6000,4,2200,4,60000,4,12000000,4,15000,5,18000,4,30000,6,32500,5,70,4,66,3,400,5,300,3,27,2,10,4,22,7,16,5,5,8,2,2,30,4,35,4,40,4,30,3,30,5,10,4,50,5,50,1,10,6,33,3
31741,18,1000000,0,15000000,9,100,1,100,5,1000,1,2200,5,4000000,3,10000000,8,12000,1,20000,6,15000,5,12000,9,47,5,47,9,350,3,350,9,40,5,40,9,20,2,20,7,1,0,1,6,40,7,40,7,30,2,30,5,35,1,35,7,50,4,50,5,60,3,60,8
34604,18,30000000,1,14000000,5,180,3,82,3,1750,6,1950,3,16000000,3,14,5,35000,3,20000,5,12000,3,25000,6,50,2,64,4,120,3,300,3,12,3,10,3,12,4,13,6,3.2,4,1.8,3,35,5,35,4,21,5,28,5,20,2,13,4,50,5,50,1,75,2,35,4
34709,19,10000,5,8000,5,11,0,12,0,3000,0,1700,0,5000000,2,8000000,2,15000,0,45000,5,150,2,35000,2,42,2,60,5,100,0,200,3,43,5,30,5,13,0,9,0,8,2,3,5,20,5,20,2,20,3,20,5,30,5,30,2,50,5,50,5,50,5,50,5
23629,19,6500,4,6500,6,9,4,27,3,700,4,1800,2,7000000,4,8000000,0,5000,4,35000,3,18000,4,35000,0,72,4,76,2,300,4,375,3,26,4,33,2,18,4,16,5,3,4,3,2,13,4,17,0,22,4,22,3,12,4,13,4,52,4,52,5,40,4,55,3
34658,19,8000,1,12000000,2,21,0,25,3,2000,2,1700,4,2000000,2,7000000,2,60000,2,40000,2,30000,2,35000,2,400,3,72,2,70,1,200,2,20,0,30,3,12,3,8,3,7,0,2,2,30,2,18,3,15,3,20,3,10,2,20,3,50,2,50,3,30,3,40,3
32188,19,3000000,5,4000000,5,28,3,30,3,1500,3,1700,1,5000000,5,8000000,0,1000000,5,1000000,2,40000,5,40000,0,72,5,75,3,350,4,400,3,30,4,30,0,5,5,6,3,2,3,1.7,3,15,4,17,0,20,4,20,3,30,5,20,4,50,4,50,1,70,5,50,6
34653,19,10000,0,9500000,4,10,3,22,0,45,2,1700,0,1000000000,0,8000000,3,6300,2,6300,2,38000,0,36000,2,108,4,76,3,140,2,450,2,25,0,32,2,9,2,9,2,2,0,1.5,4,13,4,16,3,20,2,22,3,25,0,23,3,17,0,46,4,55,3,55,3
3472,19,1000000,5,1000000,6,8,5,30,1,10000,5,1700,2,10000000,4,8000000,1,1000,2,100000,9,30000,4,35000,3,36,5,80,3,1000,7,500,2,35,3,30,1,10,5,9,3,3.8,5,1.5,2,20,5,17,1,20,5,20,2,40,1,25,1,70,1,50,1,70,1,50,1
711123,19,15000000,4,25000000,2,12,2,30,0,400,3,1750,0,20000,1,8000000,0,900000000,2,3000000,2,30000,2,32000,1,48,3,79,3,62,3,375,2,32,4,32,0,15,4,9,5,30,4,1.7,2,46,5,17,0,25,2,23,1,23,2,23,1,36,1,48,1,40,4,45,3
