labID,q1est,q1conf,q2est,q2conf,q3est,q3conf,q4est,q4conf,q5est,q5conf,q6est,q6conf,q7est,q7conf,q8est,q8conf,q9est,q9conf,q10est,q10conf,q11est,q11conf,q12est,q12conf,q13est,q13conf,q14est,q14conf,q15est,q15conf,q16est,q16conf
23189,4500000,1,15,1,4000,1,10000000,2,25000,2,40000,2,54,2,0,0,30,1,8,1,3,1,47,3,13,1,30,2,50,2,15,1
33084,700,1,23,3,150,2,6500000,2,12000,2,3.00E+11,2,53,2,150,2,40,2,10,2,0.2,2,35,2,15,3,0,0,17,2,20,2
32193,39000,1,12,2,350,2,15000000,1,100000,1,2000,1,140,2,120,3,35,1,13.5,2,6,2,0,0,10,2,45,2,30,1,70,2
31776,8000000,2,62,2,2200,3,2200000,1,10000,2,2000000,1,78,2,180,2,33,3,12,3,12,1,9,2,62,3,25,2,0,0,65,2
34606,4000,2,100000,1,1000,1,0,0,600000,2,3720,2,50,2,250,1,70,2,4,2,4,2,40,2,45,1,40,2,70,2,80,2
34103,25000,1,30,1,30000,1,1500000,1,0,0,25000,2,46,2,400,1,15,2,10,2,20,1,15,2,25,1,40,2,25,2,60,2
32741,6000,1,15,3,250000,2,6000000,2,10000,2,42000,3,72,1,170,2,18,3,16,2,4,3,15,1,65,2,25,3,0,0,40,3
34759,27000,1,500,1,10000,1,100000,1,100000,1,5000,1,66,2,0,0,30,1,9,2,0.2,1,20,1,85,1,16,1,38,2,40,1
32083,0,0,120,2,50000,1,10000000,3,100000000,1,40000,4,55,2,100,3,30,3,25,2,1.2,2,30,3,50,2,30,3,40,2,80,3
24997,32000,3,12,2,750,2,800000,3,8000,3,51000,3,0,0,150,2,17,2,17,3,4,3,35,2,15,2,45,3,35,2,40,3
25453,7000,1,100,1,8000,1,8000000,1,25000,1,24000,2,0,0,120,2,40,2,10,2,9,1,20,1,45,2,35,2,60,1,58,1
34798,12000,1,22,1,10000,1,0,0,50000,1,45000,1,55,3,180,3,23,3,8,2,1,1,40,3,12,2,30,2,50,4,70,4
386,5000000,1,180,1,600,1,5000000,1,40000,1,3333,1,60,1,280,1,15,1,10,1,6,1,20,1,20,1,25,1,50,1,20,1
741,1.00E+11,2,30,2,30000,2,7000000000,2,1.00E+13,2,40000,2,8,2,300,2,60,1,0.5,2,8,2,30,1,10,1,25,2,33,2,60,2
5966,4000000,1,120,1,2000,1,10000000,1,50000,1,30000,1,75,2,200,1,18,2,5,1,1.5,2,45,2,25,1,25,1,60,1,65,1
10743,0.65,1,45,1,500,1,50000000,1,4500,1,45000,1,1.55,1,270,1,28,1,8.5,2,8.5,1,4,1,13,1,18,2,35,2,35,2
15312,200000000,1,0.2,1,1.555,1,1.1,1,0.2888,1,30,1,0.233,1,0.225,1,60,1,0.07,1,3.2,1,17,1,28,1,33,1,30,1,55,1
18247,1000000,1,21,1,2000,1,4200000,2,20000,1,40000,2,78,2,170,2,17,3,10,2,3,2,25,2,25,2,30,2,50,3,45,3
20330,500000,2,28,2,320,2,50000000,2,250000000,2,250000,2,52,2,110,2,1000000,2,500,2,20,2,40,2,20,2,35,2,30,2,15,2
20940,1000000,1,12,4,20000,1,200000,1,1000000,1,28000,2,36,2,120,3,40,1,10,2,12,1,12,1,30,1,30,1,40,1,20,1
21726,5000,2,5.2,4,100,2,200000,2,1070,2,30000,3,6,2,70,2,25,2,10,3,8,1,30,1,15,1,35,3,60,3,85,3
22101,3500000,3,14,1,1500,2,11000000,2,12000,1,26000,1,41,2,380,1,22,1,8,1,1,1,13,1,35,2,10,1,36,2,33,1
22104,9000,1,10,1,1500,1,1500000,1,12000,1,33000,1,72,2,200,2,30,2,5,2,1.2,1,15,1,25,2,40,1,52,2,50,1
22659,1500000,2,25,2,1300,2,6500000,2,5000000,1,1500000000,1,60,2,200,1,35,2,15,2,1.6,1,12,1,25,2,20,2,50,2,55,2
22754,1000000,1,60,1,1000,1,4000000,1,500000,1,34000,2,63,2,350,2,40,2,12,3,2.3,2,8,2,45,1,50,1,50,3,40,3
23065,1000000,1,14,1,1560,2,6200000,2,5200,1,40000,1,38,2,102,1,50,1,20,2,3.8,1,7,1,15,1,9,1,45,2,45,2
24486,700000,2,16,2,5000,3,7000000,2,15000,3,40000,2,40,4,250,2,40,2,17,4,8,1,20,2,23,2,14,2,40,2,37,2
25297,1000000,1,125,1,2500,1,1250000,1,330000,1,28000,1,75,1,270,1,19,1,7,1,2,1,5,1,40,1,40,1,45,1,60,1
25392,80000,1,62,1,10000,1,2000000000,1,900000,1,70000,1,72,2,185,2,20,1,0.15,1,1.2,1,16,1,3,1,15,1,40,1,50,2
26396,15000,1,65,1,1400,2,7000000,2,2300000,1,32000,2,62,2,200,2,40,2,15,2,5.3,1,15,2,45,2,30,2,55,3,65,2
26841,6000000,2,52,1,1000,1,10000000,2,75000,1,50000,2,50,2,200,2,18,2,8,2,2,1,15,2,50000,2,12,2,52,2,60,2
26887,300000,2,15,2,1500,2,6000000,3,6000,2,22000,2,40,3,250,2,25,2,10,2,3,2,10,1,25,1,10,2,50,3,30,2
26945,3000000,3,30,1,4000,3,4500000,3,800000,1,27000,2,72,4,250,2,60,4,8,4,2,1,20,4,8,3,3,4,35,5,25,4
27002,600000,1,90,1,12000,1,8000000,1,30000,1,45000,2,65,2,250,1,35,2,16.6,2,30,1,25,1,35,1,30,1,65,1,70,1
27087,2050000,1,27,2,895,1,16000000,1,68000,2,33000,2,65,1,240,2,50,2,12,2,4,1,14,1,32,1,20,2,58,3,48,3
27184,100000,1,25,3,100000,1,3000000,3,100000,1,1.00E+11,1,65,1,200,1,50,3,10,2,5,1,20,3,50,2,25,3,45,3,50,3
27196,95000000,1,36,2,4500,2,35000000,2,12000,3,12000,3,60,3,275,2,35,1,15,2,5.5,1,15,1,38,3,12,2,42,4,15,1
27235,3000,4,30,1,25000,1,3000000,1,350000,1,35000,3,53,1,200,1,1000000,1,15,2,9,1,20,2,75,3,45,2,1.5,5,75,5
27306,1500000,3,32,3,1500,3,2000000,2,15000,3,40000,3,60,3,120,2,20,3,8,3,0.5,1,15,2,25,3,30,3,40,2,50,3
27483,300000,2,120,1,8000,1,4000000,1,50000,1,20000,1,55,1,2000,1,26,1,10,1,8,1,20,1,20,1,20,1,40,2,40,1
27635,125000,1,25,1,500,1,275000,1,10000,1,35000,1,52,1,250,1,42,2,25,1,2.6,1,43,1,85,1,65,1,30,1,75,1
27722,0.9,3,600,1,27000000,2,600,1,3000,2,7000000,2,60000000,1,1000,1,540,2,250,2,30,1,2,2,0.02,1,40,2,30,2,30,1
27829,43789,2,30,3,1200,1,4000000,2,65000,1,40000,1,120,2,3000,2,20,1,12,2,2,1,10,1,3000,3,30,1,40,2,15,2
28218,3800000,3,27,2,800,2,4000000,2,1000000,2,14500000000,3,72,2,300,2,30,2,12,2,5,1,14,1,30,2,20,2,40,2,50,2
28279,4100,2,25,3,800,2,12000000,2,40000,2,24000,2,58,2,120,2,40,2,10,2,102,1,35,2,25,2,40,2,50,5,40,2
28489,4500000,4,152,2,1776,3,80000000,3,25000,4,1877,2,52,2,287,3,20,2,9,3,1.5,2,15,2,30,2,35,2,55,3,43,2
28505,350000,2,20,3,420,3,3000000,3,1680000000,2,45000,3,38,3,220,3,60,3,13,3,1.5,3,30,3,15,3,30,3,50,4,40,3
28623,15000,2,45,2,2500,1,6000000,1,30000,1,20000,3,50,2,200,2,30,2,15,1,5,2,30,2,15,1,50,1,50,1,60,2
28669,250000,1,6.5,1,50000,1,25000000,1,1.60E+12,1,53000,3,80,2,300,2,38,2,5.8,2,8.5,1,7.8,1,8,1,15,1,52,3,35,3
29088,500,1,10,2,5280,1,5000000,1,1000,1,10000,1,36,1,100,1,60,1,12,1,2,1,10,1,40,1,30,1,30,1,15,1
29147,1000000,1,180,1,400,1,1000000,1,80000,1,2000,1,4,1,250,1,30,1,5,1,3.2,1,50,1,10,1,5,1,20,1,25,1
29333,22000000,1,25,1,1000,1,500000,1,5000000000,1,20000,1,60,2,150,1,40,1,5,1,110,1,30,1,50,1,40,1,50,1,30,1
29481,150,1,58,2,200,1,750000,2,180,1,500000,2,96,2,200,1,60,2,8,2,0.2,1,38,2,25,1,20,1,50,1,75,1
29534,6000,2,0.5,3,10000.28,4,20000000,3,150000.62,2,35000,3,3.39,3,125.62,4,45,4,25,3,10,3,20,3,50,3,35,3,43,3,55,3
29570,6000,1,15,1,150000,1,240000000,1,24000,1,12000,1,60,1,175,1,23,1,12,1,9,1,18,1,6,1,37,1,23,1,28,1
29574,100000000,1,28,1,2000,1,4000000,1,3000000,1,60000,1,48,1,150,1,35,1,8,1,3,1,10,1,15,2,45,1,50,1,30,1
29712,350000,2,110,1,750,1,1200000,1,5100000,1,30000,1,90,2,500,1,43,1,5,1,20,1,20,1,23,1,10,2,52,3,46,1
29827,3000000,1,420,1,2000,1,2200000,1,22000,1,38000,1,60,1,300,1,17,2,5,1,1,1,47,4,30,1,25,2,50,2,70,1
29881,500000,1,160,1,378,3,8000000,2,10000,1,42000,1,68,2,235,2,10,2,7,2,2.65,2,10,2,3450000,2,12,2,56,2,56,1
29999,3800000,5,45,3,3200,3,2300000,4,25000,5,50000,5,48,3,150,3,55,5,10,4,1.1,1,15,2,45,4,30,4,52,5,45,1
30024,300000,1,45,2,12000,1,3000000,1,700000,1,20000,1,72,2,180,2,25,2,7,2,21,1,15,1,8,2,30,2,37,2,40,2
30033,29000,1,16.5,2,96000,1,86000,1,1000000,1,43000,2,56,1,400,1,49,1,14,2,46,1,14,1,64,2,18,1,54,2,30,1
30107,8000000,1,350,4,3280,2,70000000,2,99999999,1,20000,2,120,2,120,1,70,1,20,1,2,1,30,1,30,1,15,1,45,1,40,1
30123,10340000,1,10,2,6000,3,23459000,1,2346900,1,25000,2,4,1,256,1,35,2,80,1,24,1,56,1,35,1,40,3,55,2,25,1
30159,500000,1,22,3,1800,2,13000000,2,156000,1,54000,2,36,2,260,2,12,1,8,1,9,1,12,1,15,1,18,1,22,1,45,2
30175,400000,1,15,3,10000,2,2000000,3,50000000,1,60000,2,60,2,100,1,50,2,17,2,0.4,1,20,2,30,1,40,2,51,2,45,2
30176,6000000,1,10,2,500,1,10000000,2,20000,1,45000,3,50,3,200,2,40,2,15,1,2,1,10,1,20,1,30,1,50,5,50,2
30308,3000,1,15,1,15000,1,3600000,1,20000,1,40000,1,68,1,200,2,35,1,13,1,1.1,1,30,2,25,1,60,1,25,2,15,1
30524,4000000,2,11,3,540,3,6000000,3,7500,3,50000,3,39,2,185,3,30,3,19,2,2.2,2,25,2,30,1,20,1,70,2,50,1
30580,1000,2,23,2,2000,2,5000000,2,40000,2,30000,2,72,2,200,1,30,1,10,2,1,1,25,2,20,2,15,2,30,2,30,2
30666,500,2,35,2,5000,2,1231231,1,90000,2,47236,1,48,1,200,2,5000000,1,5,1,4,1,1000000,1,19,1,19,1,51,1,60,1
30691,6000,1,43,2,900,1,5000000,2,10000,1,20000,1,45,2,200,1,45,1,15,2,5,1,15,1,30,1,20,1,55,2,45,2
30737,1,1,30,1,400,2,10000000,1,1200,1,15000,1,50,1,200,1,40,1,10,1,50,1,25,1,45,1,30,1,40,1,60,1
30871,1000000,1,18,2,5800,1,4800000,1,350000,1,18300,1,48,1,250,1,22,1,5.7,1,3.2,1,7,1,33,1,22,1,56,2,54,1
30900,5000000,1,120,1,800,1,100000000,1,2000,1,30000,1,50,1,300,1,60,1,10,1,0.7,1,30,1,70,1,15,1,40,1,50,1
30960,35000,2,16,1,3600,2,10000000,2,3600,1,30000,2,16,2,400,2,12,2,15,1,8,2,7,2,13,2,7,2,31,5,38,2
31103,50000,1,46,1,3000,1,6000000,2,25000,1,2000000000,1,68,1,200,1,18,1,0.2,1,0.3,1,8,1,20,1,22,1,50,1,40,1
31181,2100,2,13.2,1,360,2,90000000000,1,12000,1,20000,1,60,2,320,2,60,2,6,2,3,1,30,1,20,2,30,1,48,3,35,2
31233,75000000,2,8,2,2000,2,1500000,2,30000,2,36000,1,50,2,280,2,30,2,20,2,7.2,1,25,1,65,1,21,1,49,2,38,1
31248,3000000,1,12,1,350,1,7000000,2,1500000,1,35000,1,55,1,200,1,38,2,12,2,0.05,1,50,1,18,1,22,1,46,2,62,1
31277,600000,3,120,3,1440,3,2000000,3,30000,3,50000,4,67,3,280,3,28,3,8,3,1.75,3,12,3,6,3,15,3,35,3,50,3
31372,6000000,2,20,1,12000,2,5000000,2,25000,2,50000,1,40,2,500,2,45,1,10,2,2,1,25,2,80,2,25,4,55,3,60,1
31383,3800000,3,12.5,2,3000,2,8250000,2,25000,1,3250,2,70,3,225,3,65,3,16,2,2,1,9.5,2,56,3,20,2,60,4,72,3
31440,7000,1,45,1,2000,2,2000000,2,40000,2,30000,2,60,2,200,2,25,2,8,2,3,2,40,2,20,2,20,2,50,2,60,1
31472,6600000,3,25,3,330,3,10000000,3,13200,3,47000,2,48,2,330,3,20,2,8,2,3.7,3,15,3,25,2,30,2,37,2,19,3
31527,30000,2,12,2,37000,2,36000000,1,5000000,2,45000,2,60,2,250,2,39,2,10,2,30,1,30,2,29,2,50,2,63,2,60,2
31544,900000,1,180,1,22960,1,90000,3,25000,3,38000,3,60,2,400,3,25,2,3,2,7,3,25,3,30,4,68,3,48,3,30,4
31629,9000000,3,45,2,2700,3,2000000,2,150000,1,25000,3,84,4,250,4,25,2,7,5,1.2,2,18,2,15,2,22,3,50,4,40,2
31690,450,1,1440,1,8,2,2000000,1,4555555,1,50000,2,512,2,1.34,1,75,1,12,1,8,1,25,1,8,1,60,1,53,2,65,1
31733,3000000,1,30,2,20000,1,7000000,2,100000,1,50000,1,65,1,170,2,30,1,20,2,10,1,15,1,50000,1,15,2,50,2,25,1
31762,75000000,2,30,2,4000,2,1000000,2,30000000,2,57000,2,36,2,200,2,60,2,5,2,1.12,2,70,2,5,2,40,2,57,2,40,2
31887,1,1,1,1,1,1,8000000,1,1,1,27000,1,50,1,200,1,0.25,2,0.15,1,2,1,0.1,1,0.25,1,0.2,1,0.6,1,0.75,1
31908,22898216,1,32,1,398,1,6211354,2,7200,2,67524,1,48,1,221,1,21,1,15,1,2.3,1,31,1,24,1,28,1,51,1,68,1
31937,3000,2,48,2,8500,2,25853000,2,22000,2,68000,2,62,3,650,2,20,2,8,2,0.9,2,10,2,27,2,15,3,45,3,35,2
32012,80000,2,120,1,2000,1,10000000,1,1680000000,1,20000,1,50,1,1000,1,40,2,10,1,2,1,20,2,40,2,60,2,80,2,40,1
32053,125000,2,22,2,1650,3,10500000,4,32000,2,42000,5,66,1,410,2,18,3,11,1,1.5,4,30,2,11,2,11,1,32,2,36,2
32095,350000,1,120,2,1776,2,10000000,2,500000,1,40000,2,70,2,200,2,40,2,13,2,2,2,35,2,25,2,40,2,35,2,40,3
32382,400000,1,30,1,700,1,7000000,1,2000000,1,20000,2,60,1,250,2,40,1,10,1,3,1,50,1,30,1,5,1,50,2,70,1
32391,1000000,1,15,2,5000,2,15000000,2,10000000,1,25000,2,72,2,150,2,20,2,7,2,5,1,18,2,4,2,25,2,50,3,40,2
32424,1000000,2,15,2,3455,2,6000000,2,100000,2,30000,2,48,2,200,2,65,3,20,3,7,2,25,3,35,3,30,3,50,4,80,3
32497,3000,1,24000000,1,1600,2,11000000,2,43808239,1,1300,1,78,1,450,2,35,1,0.015,2,3,1,13,1,27,1,45,1,37,1,27,1
32643,10000000,2,8,2,6000,1,500000000,1,260000000,1,32000,1,60,1,230,1,25,1,8,2,4.6,1,19,2,22,1,15,1,40,2,45,2
32709,4000000,2,13,1,1200,1,10000000,2,32000,2,50000,1,44,1,180,1,40,1,6,2,8,1,33,1,21,1,19,1,45,2,40,2
32817,500000,2,30,2,150,1,5000000,1,29999,2,37000,2,108,1,75,1,30,1,6,1,1.1,1,18,1,7,1,15,1,0.2,2,20,2
32846,4000000,2,180,1,7.9,2,10000000,1,400000000,1,50000,2,100,1,160,1,40,1,15,1,10,1,20,1,30,2,40,2,25,2,60,1
32923,750000,1,9.4,1,325,1,400000,1,100000,1,6.40E+11,1,50,2,600,1,40,2,4,2,25,1,45,1,17,1,55,1,50,3,50,1
32953,14000000,2,60,2,4000,1,2000000,1,500000,1,35000,1,50,1,355,1,18,1,10,1,4000,1,20,1,45,2,70,2,50,2,25,1
32970,2000000,1,600,1,5000,1,2000000,1,10000000,1,25000,1,60,1,200,1,25,1,15,1,1.2,1,50,1,20,1,60,1,50,1,65,1
33086,250,1,23,1,1250,1,10628,1,9996,1,50000,1,78,1,95.8,1,42.3,1,3.6,1,8,1,49.7,1,21.3,1,32.7,1,60.8,1,89.9,1
33168,4500000,2,34,1,1200,2,1400000,1,1000000,1,32000,1,50,1,250,1,40,1,15,2,2,1,15,1,30,2,20,1,52,2,20,1
33193,4000000,3,1200,2,200,3,15000000,3,24000,3,50000,3,150,2,600,2,8,2,5,2,3,3,25,2,16,2,31,2,24,2,38,2
33235,8000000,2,11,4,15000,3,3000000000,3,80000000,2,450000,2,48,2,500,3,40,2,10,2,500,1,36,2,25,3,75,3,40,3,70,3
33318,2500000,1,8.5,1,1000,1,12500000,1,10000,2,30000,2,72,2,120,2,39,1,6,3,65.5,1,35,1,50,2,75,2,68,2,55,2
33442,120000,1,500,1,40000,1,10000000,2,6200000,2,63600,2,70,2,4899,1,60,3,12,2,8,3,40,2,30,2,13,2,50,5,50,3
33708,100000000,1,34,1,2300,2,11000000,2,12000,1,43000,1,75,1,228,1,30,1,15,1,1.2,1,40,1,40,1,30,1,50,3,70,3
33714,300000,2,75,1,2500,4,6000000,2,20000,2,20000,1,42,1,300,3,20,2,6,1,2,1,15,1,10,1,45,2,35,1,70,2
33770,3000900,2,27,1,3200,2,4500000,1,4024,3,29000,3,90,3,325,3,40,3,16,3,3,3,20,3,68,3,40,2,37,2,60,3
33771,50000,1,4800,1,4600,1,60,1,100,1,45,1,9,1,190,1,25,1,0.05,1,0.1,1,0.7,1,0.15,1,0.35,1,0.25,1,0.8,1
33787,0.5,1,10,1,8000,1,50000,1,10000,1,30000,1,50,1,600,1,60,1,12,1,0.63,1,12,1,40,1,20,1,30,1,30,1
33819,100000,1,45,1,800,1,500000,1,600000,1,8,2,60,2,600,2,7,1,20,1,9,2,20,1,60,2,70,1,85,1,70,1
33876,6000000,3,14,3,1870,2,1500000,2,27000,1,50000,1,60,3,300,2,20,1,0.1,2,0.02,1,50,3,35,2,20,2,50,3,45,1
33877,566456,2,180,3,3000,2,300562412,1,6.52E+14,1,31000,4,48,2,310,2,42,3,13,3,3.2,2,6,2,92,3,35,3,65,2,38,3
33930,543235834,2,30000,2,408,3,326934,2,654,2,398,2,509439000,2,35094039,2,60384,2,130,2,223,2,33,2,20,2,33,1,8,2,15,2
33931,16000,1,80,1,3000,1,25000,1,32258,1,18000,1,56,2,180,1,35,1,4,1,30,1,20,1,30,1,33,1,17,1,65,1
33934,1000000,1,50,2,200,1,5000000,2,1500000,1,5000,1,50,2,200,2,20,2,7,2,5,1,5,1,30,2,20,2,0.3,1,50,1
34086,600000,1,15,2,2500,2,5000000,2,20000,1,24000,2,60,2,250,2,20,2,17,2,10,1,50,3,60,1,15,2,40,2,40,1
34112,2000000,1,10,2,1000,1,3000000,1,1000,1,40000,2,48,1,120,1,15,1,5,1,0.2,1,3,1,10,1,10,1,40,2,60,1
34138,3500,1,11,1,2000,1,10000000,1,6000000,1,30000,1,65,1,200,1,35,1,8,1,7,2,20,2,25,1,10,1,50,1,60,1
34154,0.2,1,150,1,3,1,15000,1,0.3,1,50000,1,0.2,1,0.4,1,0.3,1,0.1,1,0.6,1,0.3,1,0.1,1,0.4,1,0.2,1,0.2,1
34290,6000000,2,7,1,1500,1,20000000,1,16000,2,20000,1,60,1,500,1,15,1,15,1,4,1,8,1,60,1,10,1,45,2,65,1
34420,0.8,2,8,2,3,2,50000000,2,0.8,2,200000,2,0.3,2,0.5,2,20,2,0.5,2,0.1,2,15,2,10,2,50,2,40,2,50,2
34422,25000000,2,60,1,13000,2,20000000,1,60000,1,24000,1,62,1,150,2,50,1,10,2,10,1,30,1,60,2,50,2,50,2,50,1
34456,1500000,1,50,1,500,2,1000000,1,10000,1,32000,2,45,1,200,2,35,1,8,1,50,1,15,1,20,2,40,1,30,1,80,1
34466,6000000,2,120,2,3000,2,12000000,2,24000,4,30000,3,36,2,210,3,25,3,12,2,1,4,35,2,15,2,25,3,50,4,40,2
34472,4500,1,1440,1,1500,1,6000000,1,75000,1,30000,1,60,1,250,1,50,1,7,1,10,1,35,1,20,1,20,1,40,2,60,1
34505,340000,1,7,1,825,1,9000000,2,246000,1,37000,2,48,1,125,1,64,1,10,2,2,1,18,2,32,1,20,1,52,2,76,2
34516,3000,2,15,1,5230,1,600000,1,20000,1,50000,1,45,2,260,2,70,2,30,2,55,1,60,1,40,2,60,1,60,2,70,2
34543,390000,2,12,2,3000,2,1000000,1,62000000,1,40000,1,48,2,300,2,57,2,20,1,3.89,1,40,1,50,2,30,2,48,2,70,2
34547,6500,2,7.47,1,500,2,2000000,1,100000,1,25000,1,48,1,200,1,60,2,12,2,30,1,40,2,70,3,30,1,55,3,80,2
34558,65000,1,8,2,38,1,1.5,1,65000,2,35000,2,65,1,155,2,30,2,15,2,30,1,20,1,15,2,30,2,45,2,38,1
34565,150769.85,1,185,2,3548,2,120000000,2,9862533,1,120,2,354,2,5962,1,34,2,8,2,25,2,21,1,17,1,33,1,50,4,43,2
