subject.no,group,condition,question.no,estimate.no,estimate
29679,2,G,2,tr.est1,0.873481781
27194,3,G,2,tr.est1,0.240890688
34540,3,G,2,tr.est1,0.418016194
34399,3,G,2,tr.est1,0.620445344
30575,3,G,2,tr.est1,0.240890688
32149,3,G,2,tr.est1,0.342105263
34706,3,G,2,tr.est1,0.240890688
29136,3,G,2,tr.est1,0.493927126
31003,3,G,2,tr.est1,0.493927126
27502,4,G,2,tr.est1,0.644736842
34441,4,G,2,tr.est1,0.897773279
26783,4,G,2,tr.est1,0.620445344
31122,4,G,2,tr.est1,0.493927126
30782,4,G,2,tr.est1,0.772267206
32418,4,G,2,tr.est1,0.746963563
30257,4,G,2,tr.est1,8.109311741
34746,4,G,2,tr.est1,0.544534413
34718,5,G,2,tr.est1,0.772267206
31382,5,G,2,tr.est1,0.79757085
33780,5,G,2,tr.est1,0.012145749
29727,5,G,2,tr.est1,0.063765182
34015,5,G,2,tr.est1,0.342105263
34499,5,G,2,tr.est1,0.668522267
31365,5,G,2,tr.est1,1.530364372
34566,5,G,2,tr.est1,0.240890688
33922,5,G,2,tr.est1,0.696356275
34704,5,G,2,tr.est1,0.138663968
31569,13,G,2,tr.est1,0.367408907
29099,13,G,2,tr.est1,0.696356275
27471,13,G,2,tr.est1,0.645748988
32676,13,G,2,tr.est1,0.696356275
34111,13,G,2,tr.est1,0.746963563
32996,13,G,2,tr.est1,0.620445344
34805,13,G,2,tr.est1,0.138663968
34660,13,G,2,tr.est1,14.18218623
33180,13,G,2,tr.est1,0.696356275
30828,14,G,2,tr.est1,2.036437247
28908,14,G,2,tr.est1,0.240890688
25599,14,G,2,tr.est1,3.55465587
34491,14,G,2,tr.est1,0.771255061
34645,14,G,2,tr.est1,0.544534413
29068,14,G,2,tr.est1,0.089068826
31526,14,G,2,tr.est1,6.591093117
34582,14,G,2,tr.est1,0.746963563
32810,17,G,2,tr.est1,0.493927126
29908,17,G,2,tr.est1,0.848178138
27116,17,G,2,tr.est1,0.240890688
27181,17,G,2,tr.est1,0.79757085
33503,17,G,2,tr.est1,0.493927126
34654,17,G,2,tr.est1,0.367408907
31917,17,G,2,tr.est1,0.620445344
34666,17,G,2,tr.est1,0.518218623
31116,17,G,2,tr.est1,0.391700405
34800,17,G,2,tr.est1,0.721659919
30521,17,G,2,tr.est1,NA
711121,18,G,2,tr.est1,90.09311741
34773,18,G,2,tr.est1,0.746963563
30270,18,G,2,tr.est1,0.367408907
34362,18,G,2,tr.est1,0.063765182
29717,18,G,2,tr.est1,0.79757085
34633,18,G,2,tr.est1,0.11437247
29189,18,G,2,tr.est1,0.645748988
711122,18,G,2,tr.est1,0.518218623
31741,18,G,2,tr.est1,1.530364372
34604,18,G,2,tr.est1,3.55465587
34709,19,G,2,tr.est1,0.721659919
23629,19,G,2,tr.est1,0.772267206
34658,19,G,2,tr.est1,0.468623482
32188,19,G,2,tr.est1,0.291497976
34653,19,G,2,tr.est1,0.746963563
3472,19,G,2,tr.est1,0.79757085
711123,19,G,2,tr.est1,0.696356275
33570,19,G,2,tr.est1,0.062753036
34750,19,G,2,tr.est1,0.240890688
34749,6,I,1,tr.est1,0.997714249
29474,6,I,1,tr.est1,0.995697411
33884,6,I,1,tr.est1,0.327720426
32876,6,I,1,tr.est1,0.892435268
31860,6,I,1,tr.est1,0.994621763
32365,6,I,1,tr.est1,0.994621763
32334,6,I,1,tr.est1,0.998655441
34548,6,I,1,tr.est1,0.982520731
33970,6,I,1,tr.est1,1.420206465
34735,6,I,1,tr.est1,0.998252073
29569,7,I,1,tr.est1,0.990050262
27488,7,I,1,tr.est1,79.67354884
30338,7,I,1,tr.est1,0.995966323
32155,7,I,1,tr.est1,0.973108817
29626,7,I,1,tr.est1,0.193264512
33131,7,I,1,tr.est1,0.998655441
34605,7,I,1,tr.est1,0.999997176
31594,7,I,1,tr.est1,0.005026231
34661,7,I,1,tr.est1,12.44559147
26812,8,I,1,tr.est1,1.689118295
29838,8,I,1,tr.est1,0.919326451
34148,8,I,1,tr.est1,0.515958707
36430,8,I,1,tr.est1,0.344559147
34534,8,I,1,tr.est1,0.865544085
29642,8,I,1,tr.est1,0.757979353
34630,8,I,1,tr.est1,NA
31185,8,I,1,tr.est1,0.999058809
27391,8,I,1,tr.est1,0.997310882
31804,8,I,1,tr.est1,0.995697411
32190,9,I,1,tr.est1,39.33677442
34693,9,I,1,tr.est1,17.82382806
34681,9,I,1,tr.est1,0.344559147
34712,9,I,1,tr.est1,9.756473178
30029,9,I,1,tr.est1,0.989512439
34776,9,I,1,tr.est1,0.193264512
34308,9,I,1,tr.est1,0.997310882
34588,9,I,1,tr.est1,0.973108817
20720,9,I,1,tr.est1,0.932772043
30973,9,I,1,tr.est1,0.757979353
34490,10,I,1,tr.est1,0.978487054
32284,10,I,1,tr.est1,0.058808597
32276,10,I,1,tr.est1,0.999973109
25492,10,I,1,tr.est1,0.193264512
711124,10,I,1,tr.est1,0.865544085
30095,10,I,1,tr.est1,0.058808597
711126,10,I,1,tr.est1,0.613470977
711125,10,I,1,tr.est1,0.939494838
29472,11,I,1,tr.est1,0.344559147
32871,11,I,1,tr.est1,0.973108817
34760,11,I,1,tr.est1,0.974453376
33176,11,I,1,tr.est1,1.420206465
6787,11,I,1,tr.est1,0.885443561
27844,11,I,1,tr.est1,0.998117617
31444,11,I,1,tr.est1,1.689118295
34803,11,I,1,tr.est1,0.989243527
34626,11,I,1,tr.est1,4.378236589
26648,11,I,1,tr.est1,0.798316128
25636,12,I,1,tr.est1,25.89118295
34799,12,I,1,tr.est1,0.462176341
34785,12,I,1,tr.est1,1.420206465
29942,12,I,1,tr.est1,0.981176172
34806,12,I,1,tr.est1,0.596632256
31165,12,I,1,tr.est1,0.997310882
32864,12,I,1,tr.est1,0.731088171
34797,12,I,1,tr.est1,0.999981176
32490,12,I,1,tr.est1,0.878989677
26503,12,I,1,tr.est1,2150.294636
34860,12,I,1,tr.est1,NA
33281,15,I,1,tr.est1,0.991932645
34460,15,I,1,tr.est1,0.996773058
34584,15,I,1,tr.est1,0.919326451
30377,15,I,1,tr.est1,0.865544085
28729,15,I,1,tr.est1,0.075647318
33804,15,I,1,tr.est1,0.995966323
33552,15,I,1,tr.est1,0.999058809
27105,15,I,1,tr.est1,52.78236589
25031,15,I,1,tr.est1,0.569741073
31470,16,I,1,tr.est1,0.978487054
29819,16,I,1,tr.est1,0.650414622
31227,16,I,1,tr.est1,0.919326451
33798,16,I,1,tr.est1,0.986554409
34295,16,I,1,tr.est1,0.98386529
34692,16,I,1,tr.est1,3.033677442
31819,16,I,1,tr.est1,0.997310882
28232,16,I,1,tr.est1,1.420206465
34689,16,I,1,tr.est1,1.151294636
34365,22,I,1,tr.est1,0.997445338
29755,22,I,1,tr.est1,0.663860213
33132,22,I,1,tr.est1,0.986554409
33549,22,I,1,tr.est1,1.420206465
32153,22,I,1,tr.est1,0.021864952
27076,22,I,1,tr.est1,0.999811762
30720,22,I,1,tr.est1,0.998924353
34834,22,I,1,tr.est1,1.420206465
25308,22,I,1,tr.est1,0.98386529
34749,6,I,2,tr.est1,0.519230769
29474,6,I,2,tr.est1,0.822874494
33884,6,I,2,tr.est1,0.620445344
32876,6,I,2,tr.est1,0.493927126
31860,6,I,2,tr.est1,0.731781377
32365,6,I,2,tr.est1,0.341093117
32334,6,I,2,tr.est1,0.367408907
34548,6,I,2,tr.est1,0.735576923
33970,6,I,2,tr.est1,4.060728745
34735,6,I,2,tr.est1,0.367408907
29569,7,I,2,tr.est1,0.620445344
27488,7,I,2,tr.est1,0.746963563
30338,7,I,2,tr.est1,0.822874494
32155,7,I,2,tr.est1,0.215587045
29626,7,I,2,tr.est1,0.696356275
33131,7,I,2,tr.est1,0.822874494
34605,7,I,2,tr.est1,0.493927126
31594,7,I,2,tr.est1,0.518218623
34661,7,I,2,tr.est1,0.240890688
26812,8,I,2,tr.est1,0.392712551
29838,8,I,2,tr.est1,0.493927126
34148,8,I,2,tr.est1,0.493927126
36430,8,I,2,tr.est1,0.138663968
34534,8,I,2,tr.est1,0.493927126
29642,8,I,2,tr.est1,2.036437247
34630,8,I,2,tr.est1,NA
31185,8,I,2,tr.est1,0.897773279
27391,8,I,2,tr.est1,0.012145749
31804,8,I,2,tr.est1,0.392712551
32190,9,I,2,tr.est1,0.671052632
34693,9,I,2,tr.est1,0.138663968
34681,9,I,2,tr.est1,252.0364372
34712,9,I,2,tr.est1,0.620445344
30029,9,I,2,tr.est1,0.518218623
34776,9,I,2,tr.est1,1.530364372
34308,9,I,2,tr.est1,0.620445344
34588,9,I,2,tr.est1,0.696356275
20720,9,I,2,tr.est1,0.062753036
30973,9,I,2,tr.est1,0.671052632
34490,10,I,2,tr.est1,0.746963563
32284,10,I,2,tr.est1,0.620445344
32276,10,I,2,tr.est1,0.518218623
25492,10,I,2,tr.est1,0.012145749
711124,10,I,2,tr.est1,0.443319838
30095,10,I,2,tr.est1,0.645748988
711126,10,I,2,tr.est1,1.530364372
711125,10,I,2,tr.est1,0.240890688
29472,11,I,2,tr.est1,0.721659919
32871,11,I,2,tr.est1,0.493927126
34760,11,I,2,tr.est1,0.569838057
33176,11,I,2,tr.est1,0.190283401
6787,11,I,2,tr.est1,0.138663968
27844,11,I,2,tr.est1,0.11437247
31444,11,I,2,tr.est1,0.493927126
34803,11,I,2,tr.est1,0.810222672
34626,11,I,2,tr.est1,1.277327935
26648,11,I,2,tr.est1,0.620445344
25636,12,I,2,tr.est1,NA
34799,12,I,2,tr.est1,NA
34785,12,I,2,tr.est1,NA
29942,12,I,2,tr.est1,NA
34806,12,I,2,tr.est1,NA
31165,12,I,2,tr.est1,NA
32864,12,I,2,tr.est1,NA
34797,12,I,2,tr.est1,NA
32490,12,I,2,tr.est1,NA
26503,12,I,2,tr.est1,NA
34860,12,I,2,tr.est1,NA
33281,15,I,2,tr.est1,0.620445344
34460,15,I,2,tr.est1,0.392712551
34584,15,I,2,tr.est1,0.518218623
30377,15,I,2,tr.est1,0.721659919
28729,15,I,2,tr.est1,0.746963563
33804,15,I,2,tr.est1,0.772267206
33552,15,I,2,tr.est1,0.367408907
27105,15,I,2,tr.est1,1.277327935
25031,15,I,2,tr.est1,0.772267206
31470,16,I,2,tr.est1,0.645748988
29819,16,I,2,tr.est1,0.620445344
31227,16,I,2,tr.est1,0.594129555
33798,16,I,2,tr.est1,0.696356275
34295,16,I,2,tr.est1,0.240890688
34692,16,I,2,tr.est1,0.620445344
31819,16,I,2,tr.est1,0.746963563
28232,16,I,2,tr.est1,0.772267206
34689,16,I,2,tr.est1,0.443319838
34365,22,I,2,tr.est1,0.670040486
29755,22,I,2,tr.est1,0.5951417
33132,22,I,2,tr.est1,0.493927126
33549,22,I,2,tr.est1,0.11437247
32153,22,I,2,tr.est1,0.493927126
27076,22,I,2,tr.est1,0.620445344
30720,22,I,2,tr.est1,0.873481781
34834,22,I,2,tr.est1,2.036437247
25308,22,I,2,tr.est1,0.11437247
34559,1,G,1,tr.est2,0.997848705
34682,1,G,1,tr.est2,7.067354884
34700,1,G,1,tr.est2,66.22795736
33524,1,G,1,tr.est2,0.344559147
29541,1,G,1,tr.est2,66.22795736
31607,1,G,1,tr.est2,0.892435268
34691,1,G,1,tr.est2,0.731088171
27503,1,G,1,tr.est2,0.058808597
29077,1,G,1,tr.est2,3.033677442
26671,1,G,1,tr.est2,0.058808597
27422,2,G,1,tr.est2,0.973108817
33276,2,G,1,tr.est2,0.90588086
30369,2,G,1,tr.est2,0.892300812
31980,2,G,1,tr.est2,0.90588086
32249,2,G,1,tr.est2,0.892435268
34745,2,G,1,tr.est2,0.852098494
29374,2,G,1,tr.est2,0.344559147
28503,2,G,1,tr.est2,0.895124387
34167,2,G,1,tr.est2,0.959663226
29679,2,G,1,tr.est2,3.302589271
27194,3,G,1,tr.est2,0.031917414
34540,3,G,1,tr.est2,0.936165172
34399,3,G,1,tr.est2,0.878989677
30575,3,G,1,tr.est2,0.075647318
32149,3,G,1,tr.est2,0.819829074
34706,3,G,1,tr.est2,0.344559147
29136,3,G,1,tr.est2,0.865544085
31003,3,G,1,tr.est2,0.838620633
27502,4,G,1,tr.est2,0.987898968
34441,4,G,1,tr.est2,0.98386529
26783,4,G,1,tr.est2,0.613470977
31122,4,G,1,tr.est2,0.987898968
30782,4,G,1,tr.est2,0.987898968
32418,4,G,1,tr.est2,0.982520731
30257,4,G,1,tr.est2,0.991932645
34746,4,G,1,tr.est2,0.987898968
34718,5,G,1,tr.est2,1.420206465
31382,5,G,1,tr.est2,0.757979353
33780,5,G,1,tr.est2,0.892435268
29727,5,G,1,tr.est2,0.865544085
34015,5,G,1,tr.est2,0.811761719
34499,5,G,1,tr.est2,0.757979353
31365,5,G,1,tr.est2,0.344559147
34566,5,G,1,tr.est2,0.865544085
33922,5,G,1,tr.est2,0.919326451
34704,5,G,1,tr.est2,0.865544085
31569,13,G,1,tr.est2,0.882382806
29099,13,G,1,tr.est2,0.210103233
27471,13,G,1,tr.est2,0.210103233
32676,13,G,1,tr.est2,0.210103233
34111,13,G,1,tr.est2,0.210103233
32996,13,G,1,tr.est2,0.210103233
34805,13,G,1,tr.est2,0.878989677
34660,13,G,1,tr.est2,0.999462176
33180,13,G,1,tr.est2,0.210103233
30828,14,G,1,tr.est2,0.344559147
28908,14,G,1,tr.est2,0.986554409
25599,14,G,1,tr.est2,0.210103233
34491,14,G,1,tr.est2,1.420206465
34645,14,G,1,tr.est2,0.193264512
29068,14,G,1,tr.est2,1.420206465
31526,14,G,1,tr.est2,0.998924353
34582,14,G,1,tr.est2,0.344559147
32810,17,G,1,tr.est2,0.882382806
29908,17,G,1,tr.est2,66.22795736
27116,17,G,1,tr.est2,0.193264512
27181,17,G,1,tr.est2,5.722795736
33503,17,G,1,tr.est2,0.193264512
34654,17,G,1,tr.est2,0.747926891
31917,17,G,1,tr.est2,0.515958707
34666,17,G,1,tr.est2,0.193264512
31116,17,G,1,tr.est2,0.613470977
34800,17,G,1,tr.est2,0.981176172
30521,17,G,1,tr.est2,NA
711121,18,G,1,tr.est2,2.495853783
34773,18,G,1,tr.est2,0.882382806
30270,18,G,1,tr.est2,1.689118295
34362,18,G,1,tr.est2,1.689118295
29717,18,G,1,tr.est2,0.263885598
34633,18,G,1,tr.est2,2.872330344
29189,18,G,1,tr.est2,0.263885598
711122,18,G,1,tr.est2,1.689118295
31741,18,G,1,tr.est2,3.033677442
34604,18,G,1,tr.est2,2.764765612
34709,19,G,1,tr.est2,0.997848705
23629,19,G,1,tr.est2,0.998252073
34658,19,G,1,tr.est2,2.226941953
32188,19,G,1,tr.est2,0.075647318
34653,19,G,1,tr.est2,1.55466238
3472,19,G,1,tr.est2,0.731088171
711123,19,G,1,tr.est2,5.722795736
33570,19,G,1,tr.est2,0.344559147
34750,19,G,1,tr.est2,1.689118295
34559,1,G,2,tr.est2,0.11437247
34682,1,G,2,tr.est2,0.012145749
34700,1,G,2,tr.est2,0.543522267
33524,1,G,2,tr.est2,0.291497976
29541,1,G,2,tr.est2,NA
31607,1,G,2,tr.est2,0.240890688
34691,1,G,2,tr.est2,0.771255061
27503,1,G,2,tr.est2,0.240890688
29077,1,G,2,tr.est2,0.012145749
26671,1,G,2,tr.est2,0.240890688
27422,2,G,2,tr.est2,0.418016194
33276,2,G,2,tr.est2,0.291497976
30369,2,G,2,tr.est2,0.443319838
31980,2,G,2,tr.est2,0.240890688
32249,2,G,2,tr.est2,0.240890688
34745,2,G,2,tr.est2,0.544534413
29374,2,G,2,tr.est2,0.620445344
28503,2,G,2,tr.est2,0.30465587
34167,2,G,2,tr.est2,0.316801619
29679,2,G,2,tr.est2,0.240890688
27194,3,G,2,tr.est2,0.240890688
34540,3,G,2,tr.est2,0.392712551
34399,3,G,2,tr.est2,0.367408907
30575,3,G,2,tr.est2,0.240890688
32149,3,G,2,tr.est2,0.163967611
34706,3,G,2,tr.est2,0.240890688
29136,3,G,2,tr.est2,0.316801619
31003,3,G,2,tr.est2,0.316801619
27502,4,G,2,tr.est2,0.644736842
34441,4,G,2,tr.est2,0.897773279
26783,4,G,2,tr.est2,0.771255061
31122,4,G,2,tr.est2,0.518218623
30782,4,G,2,tr.est2,0.518218623
32418,4,G,2,tr.est2,0.644736842
30257,4,G,2,tr.est2,1.277327935
34746,4,G,2,tr.est2,0.644736842
34718,5,G,2,tr.est2,0.012145749
31382,5,G,2,tr.est2,0.012145749
33780,5,G,2,tr.est2,0.012145749
29727,5,G,2,tr.est2,0.012145749
34015,5,G,2,tr.est2,0.012145749
34499,5,G,2,tr.est2,0.367408907
31365,5,G,2,tr.est2,0.138663968
34566,5,G,2,tr.est2,0.012145749
33922,5,G,2,tr.est2,0.443319838
34704,5,G,2,tr.est2,0.012145749
31569,13,G,2,tr.est2,0.367408907
29099,13,G,2,tr.est2,0.645748988
27471,13,G,2,tr.est2,0.5951417
32676,13,G,2,tr.est2,0.544534413
34111,13,G,2,tr.est2,0.367408907
32996,13,G,2,tr.est2,0.645748988
34805,13,G,2,tr.est2,0.493927126
34660,13,G,2,tr.est2,0.240890688
33180,13,G,2,tr.est2,0.645748988
30828,14,G,2,tr.est2,2.036437247
28908,14,G,2,tr.est2,0.367408907
25599,14,G,2,tr.est2,0.518218623
34491,14,G,2,tr.est2,0.518218623
34645,14,G,2,tr.est2,0.518218623
29068,14,G,2,tr.est2,0.644736842
31526,14,G,2,tr.est2,0.518218623
34582,14,G,2,tr.est2,0.620445344
32810,17,G,2,tr.est2,0.11437247
29908,17,G,2,tr.est2,0.79757085
27116,17,G,2,tr.est2,0.240890688
27181,17,G,2,tr.est2,0.367408907
33503,17,G,2,tr.est2,0.240890688
34654,17,G,2,tr.est2,0.391700405
31917,17,G,2,tr.est2,0.038461538
34666,17,G,2,tr.est2,0.518218623
31116,17,G,2,tr.est2,0.644736842
34800,17,G,2,tr.est2,0.11437247
30521,17,G,2,tr.est2,NA
711121,18,G,2,tr.est2,0.771255061
34773,18,G,2,tr.est2,0.518218623
30270,18,G,2,tr.est2,0.138663968
34362,18,G,2,tr.est2,0.063765182
29717,18,G,2,tr.est2,0.518218623
34633,18,G,2,tr.est2,0.366396761
29189,18,G,2,tr.est2,0.518218623
711122,18,G,2,tr.est2,0.265182186
31741,18,G,2,tr.est2,1.530364372
34604,18,G,2,tr.est2,1.074898785
34709,19,G,2,tr.est2,0.696356275
23629,19,G,2,tr.est2,0.316801619
34658,19,G,2,tr.est2,0.367408907
32188,19,G,2,tr.est2,0.240890688
34653,19,G,2,tr.est2,0.443319838
3472,19,G,2,tr.est2,0.240890688
711123,19,G,2,tr.est2,0.240890688
33570,19,G,2,tr.est2,0.240890688
34750,19,G,2,tr.est2,0.240890688
34749,6,I,1,tr.est2,0.999994622
29474,6,I,1,tr.est2,1.689118295
33884,6,I,1,tr.est2,0.999999731
32876,6,I,1,tr.est2,0.999986554
31860,6,I,1,tr.est2,0.999791056
32365,6,I,1,tr.est2,0.999999156
32334,6,I,1,tr.est2,1
34548,6,I,1,tr.est2,0.998530397
33970,6,I,1,tr.est2,23.20206465
34735,6,I,1,tr.est2,0.999999731
29569,7,I,1,tr.est2,0.987226688
27488,7,I,1,tr.est2,0.058808597
30338,7,I,1,tr.est2,0.919326451
32155,7,I,1,tr.est2,0.919326451
29626,7,I,1,tr.est2,0.075647318
33131,7,I,1,tr.est2,0.344559147
34605,7,I,1,tr.est2,0.075647318
31594,7,I,1,tr.est2,0.005026231
34661,7,I,1,tr.est2,5.722795736
26812,8,I,1,tr.est2,1074.647318
29838,8,I,1,tr.est2,0.626916568
34148,8,I,1,tr.est2,0.327720426
36430,8,I,1,tr.est2,0.210103233
34534,8,I,1,tr.est2,0.613470977
29642,8,I,1,tr.est2,0.075647318
34630,8,I,1,tr.est2,NA
31185,8,I,1,tr.est2,0.344559147
27391,8,I,1,tr.est2,0.193264512
31804,8,I,1,tr.est2,0.811761719
32190,9,I,1,tr.est2,7.067354884
34693,9,I,1,tr.est2,12.44559147
34681,9,I,1,tr.est2,0.344559147
34712,9,I,1,tr.est2,0.613470977
30029,9,I,1,tr.est2,0.987898968
34776,9,I,1,tr.est2,1.689118295
34308,9,I,1,tr.est2,2.226941953
34588,9,I,1,tr.est2,5.722795736
20720,9,I,1,tr.est2,1.689118295
30973,9,I,1,tr.est2,0.613470977
34490,10,I,1,tr.est2,15.13470977
32284,10,I,1,tr.est2,0.156320867
32276,10,I,1,tr.est2,0.613470977
25492,10,I,1,tr.est2,0.193264512
711124,10,I,1,tr.est2,0.327720426
30095,10,I,1,tr.est2,0.344559147
711126,10,I,1,tr.est2,0.559688611
711125,10,I,1,tr.est2,0.263885598
29472,11,I,1,tr.est2,1.689118295
32871,11,I,1,tr.est2,2.630309698
34760,11,I,1,tr.est2,2.495853783
33176,11,I,1,tr.est2,2.361397868
6787,11,I,1,tr.est2,2.361397868
27844,11,I,1,tr.est2,2.764765612
31444,11,I,1,tr.est2,1.958030124
34803,11,I,1,tr.est2,1.420206465
34626,11,I,1,tr.est2,2.495853783
26648,11,I,1,tr.est2,2.495853783
25636,12,I,1,tr.est2,25.89118295
34799,12,I,1,tr.est2,0.344559147
34785,12,I,1,tr.est2,1.420206465
29942,12,I,1,tr.est2,20.51294636
34806,12,I,1,tr.est2,1.016838721
31165,12,I,1,tr.est2,0.344559147
32864,12,I,1,tr.est2,0.344559147
34797,12,I,1,tr.est2,20.51294636
32490,12,I,1,tr.est2,0.263885598
26503,12,I,1,tr.est2,1.420206465
34860,12,I,1,tr.est2,NA
33281,15,I,1,tr.est2,0.882382806
34460,15,I,1,tr.est2,0.998063835
34584,15,I,1,tr.est2,0.852098494
30377,15,I,1,tr.est2,2.495853783
28729,15,I,1,tr.est2,1.420206465
33804,15,I,1,tr.est2,0.946217634
33552,15,I,1,tr.est2,0.882382806
27105,15,I,1,tr.est2,1.689118295
25031,15,I,1,tr.est2,0.479015062
31470,16,I,1,tr.est2,5.722795736
29819,16,I,1,tr.est2,1.420206465
31227,16,I,1,tr.est2,0.193264512
33798,16,I,1,tr.est2,0.986554409
34295,16,I,1,tr.est2,5.722795736
34692,16,I,1,tr.est2,0.882382806
31819,16,I,1,tr.est2,0.354611609
28232,16,I,1,tr.est2,1.420206465
34689,16,I,1,tr.est2,4.378236589
34365,22,I,1,tr.est2,0.959663226
29755,22,I,1,tr.est2,0.951702091
33132,22,I,1,tr.est2,0.986554409
33549,22,I,1,tr.est2,0.613470977
32153,22,I,1,tr.est2,0.021864952
27076,22,I,1,tr.est2,0.021864952
30720,22,I,1,tr.est2,0.998117617
34834,22,I,1,tr.est2,1.420206465
25308,22,I,1,tr.est2,0.021864952
34749,6,I,2,tr.est2,0.519230769
29474,6,I,2,tr.est2,0.721659919
33884,6,I,2,tr.est2,0.493927126
32876,6,I,2,tr.est2,0.367408907
31860,6,I,2,tr.est2,0.63562753
32365,6,I,2,tr.est2,0.138663968
32334,6,I,2,tr.est2,0.367408907
34548,6,I,2,tr.est2,0.240890688
33970,6,I,2,tr.est2,0.240890688
34735,6,I,2,tr.est2,0.214574899
29569,7,I,2,tr.est2,0.316801619
27488,7,I,2,tr.est2,0.671052632
30338,7,I,2,tr.est2,0.5951417
32155,7,I,2,tr.est2,0.391700405
29626,7,I,2,tr.est2,0.671052632
