subject.no,group,condition,question.no,question.type,est1,est2,conf1,conf2,true.values,log.true.values,log.tr.est1,log.tr.est2,tr.est1,tr.est2,log.change.est,abs.log.change.est
31762,46,C,1,unbounded,7.50E+07,7.50E+07,2,2,3718691,15.12888228,0.198568297,0.198568297,19.16838721,19.16838721,0,0
31887,46,C,1,unbounded,1,1,1,1,3718691,15.12888228,1,1,0.999999731,0.999999731,0,0
31908,47,C,1,unbounded,22898216,22898216,1,1,3718691,15.12888228,0.120146832,0.120146832,5.157601156,5.157601156,0,0
31937,47,C,1,unbounded,3000,3000,2,2,3718691,15.12888228,0.470789222,0.470789222,0.999193265,0.999193265,0,0
32012,47,C,1,unbounded,80000,80000,2,2,3718691,15.12888228,0.253759683,0.253759683,0.978487054,0.978487054,0,0
32391,47,C,1,unbounded,1.00E+06,1.00E+06,1,1,3718691,15.12888228,0.086812211,0.086812211,0.731088171,0.731088171,0,0
32424,47,C,1,unbounded,1.00E+06,1.00E+06,2,2,3718691,15.12888228,0.086812211,0.086812211,0.731088171,0.731088171,0,0
32643,47,C,1,unbounded,1.00E+07,1.00E+07,2,2,3718691,15.12888228,0.065385754,0.065385754,1.689118295,1.689118295,0,0
32709,47,C,1,unbounded,4.00E+06,4.00E+06,2,2,3718691,15.12888228,0.004820094,0.004820094,0.075647318,0.075647318,0,0
32953,47,C,1,unbounded,1.40E+07,1.40E+07,2,2,3718691,15.12888228,0.087626143,0.087626143,2.764765612,2.764765612,0,0
32970,47,C,1,unbounded,2.00E+06,2.00E+06,1,1,3718691,15.12888228,0.040996059,0.040996059,0.462176341,0.462176341,0,0
33086,47,C,1,unbounded,250,250,1,1,3718691,15.12888228,0.635038411,0.635038411,0.999932772,0.999932772,0,0
33168,48,C,1,unbounded,4500000,4500000,2,2,3718691,15.12888228,0.012605404,0.012605404,0.210103233,0.210103233,0,0
33193,48,C,1,unbounded,4.00E+06,4.00E+06,3,3,3718691,15.12888228,0.004820094,0.004820094,0.075647318,0.075647318,0,0
33235,48,C,1,unbounded,8.00E+06,8.00E+06,2,2,3718691,15.12888228,0.050636247,0.050636247,1.151294636,1.151294636,0,0
33318,48,C,1,unbounded,2500000,2500000,1,1,3718691,15.12888228,0.026246552,0.026246552,0.327720426,0.327720426,0,0
33787,48,C,1,unbounded,0.5,0.5,1,1,3718691,15.12888228,1.045816153,1.045816153,0.999999866,0.999999866,0,0
33819,48,C,1,unbounded,1.00E+05,1.00E+05,1,1,3718691,15.12888228,0.239010176,0.239010176,0.973108817,0.973108817,0,0
33876,48,C,1,unbounded,6.00E+06,6.00E+06,3,3,3718691,15.12888228,0.031620825,0.031620825,0.613470977,0.613470977,0,0
33877,48,C,1,unbounded,566456,566456,2,2,3718691,15.12888228,0.124379816,0.124379816,0.847673281,0.847673281,0,0
34086,48,C,1,unbounded,6.00E+05,6.00E+05,1,1,3718691,15.12888228,0.120577139,0.120577139,0.838652902,0.838652902,0,0
34112,48,C,1,unbounded,2.00E+06,2.00E+06,1,1,3718691,15.12888228,0.040996059,0.040996059,0.462176341,0.462176341,0,0
34154,49,C,1,unbounded,0.2,0.2,1,1,3718691,15.12888228,1.106381812,1.106381812,0.999999946,0.999999946,0,0
34420,49,C,1,unbounded,0.8,0.8,2,2,3718691,15.12888228,1.014749507,1.014749507,0.999999785,0.999999785,0,0
34456,49,C,1,unbounded,1500000,1500000,1,1,3718691,15.12888228,0.06001148,0.06001148,0.596632256,0.596632256,0,0
34466,49,C,1,unbounded,6.00E+06,6.00E+06,2,2,3718691,15.12888228,0.031620825,0.031620825,0.613470977,0.613470977,0,0
34472,49,C,1,unbounded,4500,4500,1,1,3718691,15.12888228,0.44398849,0.44398849,0.998789897,0.998789897,0,0
34516,49,C,1,unbounded,3000,3000,2,2,3718691,15.12888228,0.470789222,0.470789222,0.999193265,0.999193265,0,0
34543,49,C,1,unbounded,390000,390000,2,2,3718691,15.12888228,0.149051346,0.149051346,0.895124387,0.895124387,0,0
34547,49,C,1,unbounded,6500,6500,2,2,3718691,15.12888228,0.419682347,0.419682347,0.998252073,0.998252073,0,0
34558,49,C,1,unbounded,65000,65000,1,1,3718691,15.12888228,0.267484382,0.267484382,0.982520731,0.982520731,0,0
34565,49,C,1,unbounded,150769.85,150769.85,1,1,3718691,15.12888228,0.211871072,0.211871072,0.959456204,0.959456204,0,0
34726,40,C,2,unbounded,60,60,1,1,39.52,3.676806873,0.113559864,0.113559864,0.518218623,0.518218623,0,0
30566,40,C,2,unbounded,27,27,2,2,39.52,3.676806873,0.103614364,0.103614364,0.316801619,0.316801619,0,0
34361,40,C,2,unbounded,45,45,1,1,39.52,3.676806873,0.035317497,0.035317497,0.138663968,0.138663968,0,0
29228,40,C,2,unbounded,9,9,1,1,39.52,3.676806873,0.402409576,0.402409576,0.772267206,0.772267206,0,0
30000,40,C,2,unbounded,500,500,1,1,39.52,3.676806873,0.690218799,0.690218799,11.65182186,11.65182186,0,0
26013,40,C,2,unbounded,14,14,1,1,39.52,3.676806873,0.282242059,0.282242059,0.645748988,0.645748988,0,0
30678,40,C,2,unbounded,6,6,2,2,39.52,3.676806873,0.512685999,0.512685999,0.848178138,0.848178138,0,0
31554,40,C,2,unbounded,42,42,2,2,39.52,3.676806873,0.016553153,0.016553153,0.062753036,0.062753036,0,0
28718,40,C,2,unbounded,15,15,1,1,39.52,3.676806873,0.263477715,0.263477715,0.620445344,0.620445344,0,0
32645,40,C,2,unbounded,300,300,2,2,39.52,3.676806873,0.551286938,0.551286938,6.591093117,6.591093117,0,0
30521,41,C,2,unbounded,12,12,3,3,39.52,3.676806873,0.324167209,0.324167209,0.696356275,0.696356275,0,0
23189,41,C,2,unbounded,15,15,1,1,39.52,3.676806873,0.263477715,0.263477715,0.620445344,0.620445344,0,0
33084,41,C,2,unbounded,23,23,3,3,39.52,3.676806873,0.147223576,0.147223576,0.418016194,0.418016194,0,0
34606,41,C,2,unbounded,1.00E+05,1.00E+05,1,1,39.52,3.676806873,2.131229315,2.131229315,2529.364372,2529.364372,0,0
34103,41,C,2,unbounded,30,30,1,1,39.52,3.676806873,0.074958925,0.074958925,0.240890688,0.240890688,0,0
32741,41,C,2,unbounded,15,15,3,3,39.52,3.676806873,0.263477715,0.263477715,0.620445344,0.620445344,0,0
24997,41,C,2,unbounded,12,12,2,2,39.52,3.676806873,0.324167209,0.324167209,0.696356275,0.696356275,0,0
34798,41,C,2,unbounded,22,22,1,1,39.52,3.676806873,0.15931335,0.15931335,0.443319838,0.443319838,0,0
386,41,C,2,unbounded,180,180,1,1,39.52,3.676806873,0.412355076,0.412355076,3.55465587,3.55465587,0,0
741,41,C,2,unbounded,30,30,2,2,39.52,3.676806873,0.074958925,0.074958925,0.240890688,0.240890688,0,0
10743,42,C,2,unbounded,45,45,1,1,39.52,3.676806873,0.035317497,0.035317497,0.138663968,0.138663968,0,0
15312,42,C,2,unbounded,0.2,0.2,1,1,39.52,3.676806873,1.437727074,1.437727074,0.994939271,0.994939271,0,0
18247,42,C,2,unbounded,21,21,1,1,39.52,3.676806873,0.171965637,0.171965637,0.468623482,0.468623482,0,0
20330,42,C,2,unbounded,28,28,2,2,39.52,3.676806873,0.09372327,0.09372327,0.291497976,0.291497976,0,0
21726,42,C,2,unbounded,5.2,5.2,4,4,39.52,3.676806873,0.551605868,0.551605868,0.868421053,0.868421053,0,0
22101,42,C,2,unbounded,14,14,1,1,39.52,3.676806873,0.282242059,0.282242059,0.645748988,0.645748988,0,0
22659,42,C,2,unbounded,25,25,2,2,39.52,3.676806873,0.124545853,0.124545853,0.367408907,0.367408907,0,0
23065,42,C,2,unbounded,14,14,1,1,39.52,3.676806873,0.282242059,0.282242059,0.645748988,0.645748988,0,0
24486,42,C,2,unbounded,16,16,2,2,39.52,3.676806873,0.245924842,0.245924842,0.5951417,0.5951417,0,0
26396,42,C,2,unbounded,65,65,1,1,39.52,3.676806873,0.135329489,0.135329489,0.644736842,0.644736842,0,0
26841,43,C,2,unbounded,52,52,1,1,39.52,3.676806873,0.074639995,0.074639995,0.315789474,0.315789474,0,0
26945,43,C,2,unbounded,30,30,1,1,39.52,3.676806873,0.074958925,0.074958925,0.240890688,0.240890688,0,0
27002,43,C,2,unbounded,90,90,1,1,39.52,3.676806873,0.223836287,0.223836287,1.277327935,1.277327935,0,0
27087,43,C,2,unbounded,27,27,2,2,39.52,3.676806873,0.103614364,0.103614364,0.316801619,0.316801619,0,0
27184,43,C,2,unbounded,25,25,3,3,39.52,3.676806873,0.124545853,0.124545853,0.367408907,0.367408907,0,0
27483,43,C,2,unbounded,120,120,1,1,39.52,3.676806873,0.302078654,0.302078654,2.036437247,2.036437247,0,0
27635,43,C,2,unbounded,25,25,1,1,39.52,3.676806873,0.124545853,0.124545853,0.367408907,0.367408907,0,0
27722,43,C,2,unbounded,600,600,1,1,39.52,3.676806873,0.739805727,0.739805727,14.18218623,14.18218623,0,0
27829,43,C,2,unbounded,30,30,3,3,39.52,3.676806873,0.074958925,0.074958925,0.240890688,0.240890688,0,0
28218,43,C,2,unbounded,27,27,2,2,39.52,3.676806873,0.103614364,0.103614364,0.316801619,0.316801619,0,0
28489,44,C,2,unbounded,152,152,2,2,39.52,3.676806873,0.366370521,0.366370521,2.846153846,2.846153846,0,0
29088,44,C,2,unbounded,10,10,2,2,39.52,3.676806873,0.373754137,0.373754137,0.746963563,0.746963563,0,0
29147,44,C,2,unbounded,180,180,1,1,39.52,3.676806873,0.412355076,0.412355076,3.55465587,3.55465587,0,0
29333,44,C,2,unbounded,25,25,1,1,39.52,3.676806873,0.124545853,0.124545853,0.367408907,0.367408907,0,0
29481,44,C,2,unbounded,58,58,2,2,39.52,3.676806873,0.104339486,0.104339486,0.467611336,0.467611336,0,0
29534,44,C,2,unbounded,0.5,0.5,3,3,39.52,3.676806873,1.188518789,1.188518789,0.987348178,0.987348178,0,0
29574,44,C,2,unbounded,28,28,1,1,39.52,3.676806873,0.09372327,0.09372327,0.291497976,0.291497976,0,0
29712,44,C,2,unbounded,110,110,1,1,39.52,3.676806873,0.278413724,0.278413724,1.78340081,1.78340081,0,0
30024,44,C,2,unbounded,45,45,2,2,39.52,3.676806873,0.035317497,0.035317497,0.138663968,0.138663968,0,0
30123,44,C,2,unbounded,10,10,2,2,39.52,3.676806873,0.373754137,0.373754137,0.746963563,0.746963563,0,0
30159,45,C,2,unbounded,22,22,3,3,39.52,3.676806873,0.15931335,0.15931335,0.443319838,0.443319838,0,0
30176,45,C,2,unbounded,10,10,2,2,39.52,3.676806873,0.373754137,0.373754137,0.746963563,0.746963563,0,0
30308,45,C,2,unbounded,15,15,1,1,39.52,3.676806873,0.263477715,0.263477715,0.620445344,0.620445344,0,0
30524,45,C,2,unbounded,11,11,3,3,39.52,3.676806873,0.347832139,0.347832139,0.721659919,0.721659919,0,0
30580,45,C,2,unbounded,23,23,2,2,39.52,3.676806873,0.147223576,0.147223576,0.418016194,0.418016194,0,0
30666,45,C,2,unbounded,35,35,2,2,39.52,3.676806873,0.033033775,0.033033775,0.11437247,0.11437247,0,0
30737,45,C,2,unbounded,30,30,1,1,39.52,3.676806873,0.074958925,0.074958925,0.240890688,0.240890688,0,0
30900,45,C,2,unbounded,120,120,1,1,39.52,3.676806873,0.302078654,0.302078654,2.036437247,2.036437247,0,0
31181,45,C,2,unbounded,13.2,13.2,1,1,39.52,3.676806873,0.298245211,0.298245211,0.665991903,0.665991903,0,0
31233,45,C,2,unbounded,8,8,2,2,39.52,3.676806873,0.434443632,0.434443632,0.79757085,0.79757085,0,0
31277,46,C,2,unbounded,120,120,3,3,39.52,3.676806873,0.302078654,0.302078654,2.036437247,2.036437247,0,0
31383,46,C,2,unbounded,12.5,12.5,2,2,39.52,3.676806873,0.313064642,0.313064642,0.683704453,0.683704453,0,0
31440,46,C,2,unbounded,45,45,1,1,39.52,3.676806873,0.035317497,0.035317497,0.138663968,0.138663968,0,0
31472,46,C,2,unbounded,25,25,3,3,39.52,3.676806873,0.124545853,0.124545853,0.367408907,0.367408907,0,0
31527,46,C,2,unbounded,12,12,2,2,39.52,3.676806873,0.324167209,0.324167209,0.696356275,0.696356275,0,0
31629,46,C,2,unbounded,45,45,2,2,39.52,3.676806873,0.035317497,0.035317497,0.138663968,0.138663968,0,0
31690,46,C,2,unbounded,1440,1440,1,1,39.52,3.676806873,0.977911444,0.977911444,35.43724696,35.43724696,0,0
31733,46,C,2,unbounded,30,30,2,2,39.52,3.676806873,0.074958925,0.074958925,0.240890688,0.240890688,0,0
31762,46,C,2,unbounded,30,30,2,2,39.52,3.676806873,0.074958925,0.074958925,0.240890688,0.240890688,0,0
31887,46,C,2,unbounded,1,1,1,1,39.52,3.676806873,1,1,0.974696356,0.974696356,0,0
31908,47,C,2,unbounded,32,32,1,1,39.52,3.676806873,0.057406053,0.057406053,0.190283401,0.190283401,0,0
31937,47,C,2,unbounded,48,48,2,2,39.52,3.676806873,0.05287037,0.05287037,0.214574899,0.214574899,0,0
32012,47,C,2,unbounded,120,120,1,1,39.52,3.676806873,0.302078654,0.302078654,2.036437247,2.036437247,0,0
32391,47,C,2,unbounded,15,15,2,2,39.52,3.676806873,0.263477715,0.263477715,0.620445344,0.620445344,0,0
32424,47,C,2,unbounded,15,15,2,2,39.52,3.676806873,0.263477715,0.263477715,0.620445344,0.620445344,0,0
32643,47,C,2,unbounded,8,8,2,2,39.52,3.676806873,0.434443632,0.434443632,0.79757085,0.79757085,0,0
32709,47,C,2,unbounded,13,13,1,1,39.52,3.676806873,0.302397584,0.302397584,0.671052632,0.671052632,0,0
32953,47,C,2,unbounded,60,60,2,2,39.52,3.676806873,0.113559864,0.113559864,0.518218623,0.518218623,0,0
32970,47,C,2,unbounded,600,600,1,1,39.52,3.676806873,0.739805727,0.739805727,14.18218623,14.18218623,0,0
33086,47,C,2,unbounded,23,23,1,1,39.52,3.676806873,0.147223576,0.147223576,0.418016194,0.418016194,0,0
33168,48,C,2,unbounded,34,34,1,1,39.52,3.676806873,0.040917664,0.040917664,0.139676113,0.139676113,0,0
33193,48,C,2,unbounded,1200,1200,2,2,39.52,3.676806873,0.928324517,0.928324517,29.36437247,29.36437247,0,0
33235,48,C,2,unbounded,11,11,4,4,39.52,3.676806873,0.347832139,0.347832139,0.721659919,0.721659919,0,0
33318,48,C,2,unbounded,8.5,8.5,1,1,39.52,3.676806873,0.417955243,0.417955243,0.784919028,0.784919028,0,0
33787,48,C,2,unbounded,10,10,1,1,39.52,3.676806873,0.373754137,0.373754137,0.746963563,0.746963563,0,0
33819,48,C,2,unbounded,45,45,1,1,39.52,3.676806873,0.035317497,0.035317497,0.138663968,0.138663968,0,0
33876,48,C,2,unbounded,14,14,3,3,39.52,3.676806873,0.282242059,0.282242059,0.645748988,0.645748988,0,0
33877,48,C,2,unbounded,180,180,3,3,39.52,3.676806873,0.412355076,0.412355076,3.55465587,3.55465587,0,0
34086,48,C,2,unbounded,15,15,2,2,39.52,3.676806873,0.263477715,0.263477715,0.620445344,0.620445344,0,0
34112,48,C,2,unbounded,10,10,2,2,39.52,3.676806873,0.373754137,0.373754137,0.746963563,0.746963563,0,0
34154,49,C,2,unbounded,150,150,1,1,39.52,3.676806873,0.362768148,0.362768148,2.795546559,2.795546559,0,0
34420,49,C,2,unbounded,8,8,2,2,39.52,3.676806873,0.434443632,0.434443632,0.79757085,0.79757085,0,0
34456,49,C,2,unbounded,50,50,1,1,39.52,3.676806873,0.063972936,0.063972936,0.265182186,0.265182186,0,0
34466,49,C,2,unbounded,120,120,2,2,39.52,3.676806873,0.302078654,0.302078654,2.036437247,2.036437247,0,0
34472,49,C,2,unbounded,1440,1440,1,1,39.52,3.676806873,0.977911444,0.977911444,35.43724696,35.43724696,0,0
34516,49,C,2,unbounded,15,15,1,1,39.52,3.676806873,0.263477715,0.263477715,0.620445344,0.620445344,0,0
34543,49,C,2,unbounded,12,12,2,2,39.52,3.676806873,0.324167209,0.324167209,0.696356275,0.696356275,0,0
34547,49,C,2,unbounded,7.47,7.47,1,1,39.52,3.676806873,0.453086586,0.453086586,0.810981781,0.810981781,0,0
34558,49,C,2,unbounded,8,8,2,2,39.52,3.676806873,0.434443632,0.434443632,0.79757085,0.79757085,0,0
34565,49,C,2,unbounded,185,185,2,2,39.52,3.676806873,0.419806916,0.419806916,3.681174089,3.681174089,0,0
34726,40,C,3,unbounded,1776,1776,2,2,2723,7.909489493,0.054032636,0.054032636,0.347778186,0.347778186,0,0
30566,40,C,3,unbounded,700,700,2,2,2723,7.909489493,0.171744227,0.171744227,0.742930591,0.742930591,0,0
34361,40,C,3,unbounded,1600,1600,2,2,2723,7.909489493,0.067226916,0.067226916,0.41241278,0.41241278,0,0
29228,40,C,3,unbounded,1750,1750,1,1,2723,7.909489493,0.055897214,0.055897214,0.357326478,0.357326478,0,0
30000,40,C,3,unbounded,1100,1100,2,2,2723,7.909489493,0.114599562,0.114599562,0.596033786,0.596033786,0,0
26013,40,C,3,unbounded,0,0,0,0,2723,7.909489493,NA,NA,1,1,NA,NA
30678,40,C,3,unbounded,300,300,1,1,2723,7.909489493,0.278868443,0.278868443,0.889827396,0.889827396,0,0
31554,40,C,3,unbounded,2000,2000,1,1,2723,7.909489493,0.039014785,0.039014785,0.265515975,0.265515975,0,0
28718,40,C,3,unbounded,8.00E+05,8.00E+05,1,1,2723,7.909489493,0.718488534,0.718488534,292.79361,292.79361,0,0
32645,40,C,3,unbounded,500,500,1,1,2723,7.909489493,0.21428455,0.21428455,0.816378994,0.816378994,0,0
30521,41,C,3,unbounded,500,500,2,2,2723,7.909489493,0.21428455,0.21428455,0.816378994,0.816378994,0,0
23189,41,C,3,unbounded,4000,4000,1,1,2723,7.909489493,0.048620097,0.048620097,0.46896805,0.46896805,0,0
33084,41,C,3,unbounded,150,150,2,2,2723,7.909489493,0.366503325,0.366503325,0.944913698,0.944913698,0,0
34606,41,C,3,unbounded,1000,1000,1,1,2723,7.909489493,0.126649667,0.126649667,0.632757988,0.632757988,0,0
34103,41,C,3,unbounded,30000,30000,1,1,2723,7.909489493,0.303365112,0.303365112,10.01726037,10.01726037,0,0
32741,41,C,3,unbounded,250000,250000,2,2,2723,7.909489493,0.571430901,0.571430901,90.81050312,90.81050312,0,0
24997,41,C,3,unbounded,750,750,2,2,2723,7.909489493,0.16302143,0.16302143,0.724568491,0.724568491,0,0
34798,41,C,3,unbounded,10000,10000,1,1,2723,7.909489493,0.16446711,0.16446711,2.672420125,2.672420125,0,0
386,41,C,3,unbounded,600,600,1,1,2723,7.909489493,0.191233561,0.191233561,0.779654793,0.779654793,0,0
741,41,C,3,unbounded,30000,30000,2,2,2723,7.909489493,0.303365112,0.303365112,10.01726037,10.01726037,0,0
10743,42,C,3,unbounded,500,500,1,1,2723,7.909489493,0.21428455,0.21428455,0.816378994,0.816378994,0,0
15312,42,C,3,unbounded,1.555,1.555,1,1,2723,7.909489493,0.944184066,0.944184066,0.999428939,0.999428939,0,0
